Number of Spheres: 399
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.369
log(r) Normal with mean -2.47144, variance 0
Mean coordination No. 11.84
0.0358075 0.0887041 0.112468 0.0844631
0.118482 0.318651 0.473828 0.0844631
0.582752 0.0454491 0.529264 0.0844631
0.852622 0.828954 0.547441 0.0844631
0.807778 0.54718 0.595125 0.0844631
0.557502 0.0185902 0.694119 0.0844631
0.832159 0.72426 0.207901 0.0844631
0.84196 0.996673 0.530338 0.0844631
0.0811649 0.0792821 0.70289 0.0844631
0.994893 0.869664 0.237064 0.0844631
0.488065 0.221434 0.32131 0.0844631
0.170562 0.759156 0.532848 0.0844631
0.844254 0.0475049 0.812703 0.0844631
0.711717 0.835039 0.165973 0.0844631
0.545693 0.415679 0.814859 0.0844631
0.291362 0.221277 0.740625 0.0844631
0.625387 0.177012 0.665196 0.0844631
0.226285 0.692765 0.689361 0.0844631
0.891466 0.0957847 0.657861 0.0844631
0.517532 0.273905 0.902284 0.0844631
0.410399 0.682132 0.16299 0.0844631
0.0570839 0.629902 0.0756787 0.0844631
0.00559676 0.182636 0.975355 0.0844631
0.132737 0.531505 0.667699 0.0844631
0.662373 0.662491 0.762575 0.0844631
0.572523 0.557371 0.0770451 0.0844631
0.241216 0.554304 0.795169 0.0844631
0.404127 0.9559 0.727017 0.0844631
0.84986 0.285616 0.807583 0.0844631
0.622755 0.508751 0.695781 0.0844631
0.0647357 0.683784 0.64081 0.0844631
0.017351 0.0335981 0.271083 0.0844631
0.634026 0.657202 0.955442 0.0844631
0.665255 0.637861 0.595479 0.0844631
0.936277 0.0301754 0.9533 0.0844631
0.465166 0.519937 0.229393 0.0844631
0.27117 0.85172 0.724784 0.0844631
0.404611 0.539355 0.0728933 0.0844631
0.738345 0.774204 0.892481 0.0844631
0.784738 0.235691 0.659926 0.0844631
0.694499 0.92715 0.574585 0.0844631
0.203094 0.29767 0.618523 0.0844631
0.997892 0.98119 0.593439 0.0844631
0.51469 0.833673 0.950843 0.0844631
0.131958 0.596077 0.511604 0.0844631
0.429379 0.264579 0.0654981 0.0844631
0.98469 0.958944 0.771791 0.0844631
0.952019 0.25238 0.676499 0.0844631
0.0395681 0.440658 0.559985 0.0844631
0.663478 0.959076 0.270011 0.0844631
0.118073 0.821444 0.0698155 0.0844631
0.597588 0.270182 0.0509888 0.0844631
0.823071 0.555628 0.203843 0.0844631
