Number of Spheres: 125
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.369
log(r) Normal with mean -2.24039, variance 0
Mean coordination No. 11.664
0.868224 0.886782 0.904053 0.106417
0.73338 0.944337 0.331116 0.106417
0.128939 0.954574 0.19095 0.106417
0.741222 0.441002 0.999171 0.106417
0.0923517 0.854426 0.902603 0.106417
0.537657 0.327104 0.828191 0.106417
0.991511 0.955452 0.744733 0.106417
0.549391 0.148266 0.227823 0.106417
0.0628251 0.55057 0.317673 0.106417
0.221567 0.263677 0.0704243 0.106417
0.344558 0.798784 0.364578 0.106417
0.673063 0.544329 0.172307 0.106417
0.764521 0.342369 0.812016 0.106417
0.759358 0.183885 0.67005 0.106417
0.869917 0.795389 0.264257 0.106417
0.194664 0.787408 0.0767835 0.106417
0.517344 0.447953 0.0638567 0.106417
0.794914 0.157939 0.192161 0.106417
0.269113 0.494068 0.791206 0.106417
0.744619 0.976268 0.755687 0.106417
0.42131 0.00912771 0.325971 0.106417
0.912248 0.0607962 0.0435201 0.106417
0.170051 0.698445 0.435392 0.106417
0.0546227 0.529414 0.803894 0.106417
0.238701 0.0775266 0.411256 0.106417
0.357826 0.157076 0.900055 0.106417
0.659537 0.900245 0.943633 0.106417
0.359081 0.365451 0.943815 0.106417
0.887755 0.344316 0.146202 0.106417
0.659828 0.317841 0.153677 0.106417
0.0179957 0.242781 0.0119412 0.106417
0.472402 0.240478 0.587345 0.106417
0.636526 0.363874 0.643336 0.106417
0.81584 0.127393 0.401749 0.106417
0.782148 0.616913 0.340027 0.106417
0.443989 0.968638 0.535646 0.106417
0.732799 0.779681 0.467971 0.106417
0.511994 0.456464 0.487761 0.106417
0.971845 0.855234 0.0872617 0.106417
0.730781 0.767276 0.793494 0.106417
0.608621 0.649572 0.635749 0.106417
0.339114 0.299042 0.742595 0.106417
0.456206 0.469633 0.692731 0.106417
0.0923209 0.38174 0.191481 0.106417
0.581966 0.641038 0.408171 0.106417
0.0483084 0.158703 0.717147 0.106417
0.395135 0.290135 0.190725 0.106417
0.0629374 0.15665 0.201308 0.106417
0.987098 0.680763 0.966327 0.106417
0.0759045 0.066565 0.907573 0.106417
0.0779144 0.752199 0.25122 0.106417
0.523843 0.767317 0.843243 0.106417
0.715748 0.512468 0.513176 0.106417
0.119676 0.0157619 0.576533 0.106417
0.119738 0.90163 0.396888 0.106417
0.913052 0.0665965 0.581058 0.106417
0.307005 0.414149 0.33956 0.106417
0.981579 0.723981 0.758001 0.106417
0.512606 0.239617 0.020588 0.106417
0.320259 0.388585 0.550437 0.106417
0.800076 0.719509 0.0602412 0.106417
0.2325 0.577019 0.598653 0.106417
0.957268 0.696404 0.4312 0.106417
0.259038 0.64043 0.250964 0.106417
0.665989 0.751041 0.222489 0.106417
0.595152 0.299897 0.369991 0.106417
0.2883 0.465184 0.133784 0.106417
0.822733 0.589705 0.866373 0.106417
0.78804 0.312549 0.502954 0.106417
0.468543 0.672017 0.230764 0.106417
0.402335 0.211698 0.388447 0.106417
0.722933 0.979829 0.540757 0.106417
0.122776 0.434075 0.485402 0.106417
0.85219 0.838752 0.633966 0.106417
0.550141 0.850142 0.384488 0.106417
0.28549 0.0987447 0.188785 0.106417
0.191298 0.647723 0.916238 0.106417
0.0272606 0.100959 0.40478 0.106417
0.447856 0.756077 0.545696 0.106417
0.36825 0.0913758 0.697884 0.106417
0.653867 0.150372 0.851838 0.106417
0.170786 0.252044 0.864065 0.106417
0.443327 0.0417263 0.0571606 0.106417
0.389729 0.877737 0.720283 0.106417
0.770403 0.406177 0.312636 0.106417
0.205217 0.973126 0.766699 0.106417
0.364028 0.878342 0.168135 0.106417
0.916068 0.474711 0.451859 0.106417
0.155262 0.266148 0.358739 0.106417
0.36292 0.597659 0.431732 0.106417
0.772592 0.921092 0.122748 0.106417
0.951496 0.47209 0.988376 0.106417
0.580367 0.0980721 0.435916 0.106417
0.637432 0.512325 0.795847 0.106417
0.136355 0.364999 0.686256 0.106417
0.502984 0.46678 0.275369 0.106417
0.926455 0.999844 0.246944 0.106417
0.355221 0.649916 0.051968 0.106417
0.242087 0.986144 0.01347 0.106417
0.992743 0.27858 0.550293 0.106417
0.160476 0.438774 0.965672 0.106417
0.880165 0.11664 0.840665 0.106417
0.330628 0.818883 0.916093 0.106417
0.498543 0.00486485 0.851798 0.106417
0.518935 0.785877 0.0552087 0.106417
0.0562689 0.812614 0.579497 0.106417
0.190203 0.762875 0.73725 0.106417
0.577799 0.072917 0.665532 0.106417
0.450056 0.550088 0.889676 0.106417
0.593303 0.860707 0.66057 0.106417
0.65221 0.0823756 0.0535104 0.106417
0.789219 0.233732 0.993362 0.106417
0.905349 0.563836 0.174793 0.106417
0.261919 0.859502 0.551078 0.106417
0.629885 0.621217 0.97856 0.106417
0.819425 0.629762 0.657369 0.106417
0.976816 0.332262 0.823274 0.106417
0.107829 0.583762 0.112317 0.106417
0.883446 0.426786 0.657004 0.106417
0.0198336 0.585001 0.601415 0.106417
0.571873 0.939577 0.192584 0.106417
0.911593 0.906286 0.441071 0.106417
0.225595 0.200966 0.584141 0.106417
0.94401 0.286931 0.343282 0.106417
0.378949 0.665238 0.725413 0.106417
