Number of Spheres: 1896
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.36
log(r) Normal with mean -3.21402, variance 0.1
Mean coordination No. 10.7773
0.00783666 0.485601 0.710132 0.0569629
0.8056 0.819831 0.789826 0.0411985
0.107974 0.200585 0.562806 0.0604344
0.597331 0.848588 0.670386 0.0318123
0.328284 0.844009 0.385849 0.0416506
0.622311 0.419675 0.157469 0.0486098
0.499979 0.724703 0.432715 0.0418867
0.517903 0.0790305 0.146302 0.0468057
0.81903 0.386921 0.348704 0.039168
0.272026 0.955045 0.64744 0.04012
0.309342 0.328216 0.113999 0.042229
0.344827 0.285321 0.727887 0.0547245
0.721448 0.97397 0.81746 0.0413811
0.11164 0.694361 0.434229 0.0750088
0.532392 0.983456 0.444982 0.038981
0.198212 0.237408 0.247742 0.0402747
0.470635 0.194979 0.604732 0.052485
0.779088 0.884067 0.126388 0.0317569
0.29754 0.181501 0.332878 0.028369
0.558505 0.290145 0.0306601 0.0359976
0.996489 0.454515 0.321203 0.03095
0.606997 0.687865 0.620731 0.0344868
0.8883 0.315668 0.831943 0.0588586
0.690178 0.234314 0.845459 0.0410889
0.207609 0.161252 0.967885 0.0365915
0.347991 0.0942915 0.5232 0.0632109
0.97735 0.322714 0.44168 0.0556003
0.893262 0.890354 0.534299 0.0418545
0.127243 0.330682 0.161774 0.0419363
0.112799 0.575721 0.99265 0.0364405
0.90494 0.0889378 0.543044 0.0388716
0.896255 0.0897912 0.860836 0.027202
0.934843 0.45676 0.89771 0.0305272
0.645066 0.212566 0.54365 0.0334649
0.305301 0.394394 0.0716615 0.0364368
0.894663 0.491618 0.859722 0.0348371
0.301454 0.701154 0.557436 0.0349297
0.356086 0.827433 0.572507 0.0463913
0.0396797 0.129484 0.537471 0.0347806
0.139703 0.543148 0.701646 0.0436696
0.390023 0.0628284 0.247787 0.0271184
0.442789 0.252093 0.0116819 0.0471642
0.517471 0.66116 0.935257 0.0234323
0.42346 0.574056 0.408563 0.041552
0.516121 0.224238 0.915051 0.0685075
0.36074 0.400451 0.697543 0.0653957
0.449561 0.543052 0.217023 0.0535265
0.754718 0.156662 0.249405 0.0320637
0.448089 0.317162 0.194797 0.0263009
0.673667 0.853829 0.905764 0.0780219
0.840827 0.61118 0.136056 0.042174
0.206534 0.00628898 0.141621 0.045277
0.24475 0.389853 0.646931 0.0598005
0.527627 0.162191 0.188388 0.0469041
0.636439 0.371014 0.236598 0.038496
0.686469 0.441908 0.517578 0.0315218
0.520144 0.47856 0.262691 0.0524291
0.00881108 0.800926 0.075799 0.0357783
0.238457 0.351872 0.0614687 0.0434394
0.0707515 0.460509 0.0166178 0.0299879
0.939817 0.817021 0.669859 0.0249011
0.44571 0.909412 0.136822 0.037056
0.66254 0.448291 0.0584423 0.0468157
0.0903611 0.822176 0.859917 0.0682131
0.630596 0.43294 0.31722 0.0376087
0.155128 0.656952 0.730243 0.0746815
0.100771 0.134704 0.843696 0.0381953
0.427078 0.133923 0.187261 0.0537489
0.777194 0.145172 0.582113 0.0489597
0.610205 0.927688 0.827324 0.0470197
0.885134 0.188299 0.596336 0.0681439
0.87759 0.29038 0.746248 0.0307454
0.684208 0.754825 0.547477 0.027806
0.832972 0.877714 0.691263 0.0396605
0.793929 0.768617 0.559829 0.0274558
0.589374 0.963482 0.555865 0.0268648
0.734492 0.26669 0.682843 0.0278686
0.639259 0.260462 0.681675 0.058492
0.135111 0.0466873 0.623351 0.0301828
0.162768 0.501143 0.468313 0.0330766
0.831576 0.582202 0.246135 0.0586225
0.803586 0.0319126 0.872713 0.0272617
0.401939 0.106638 0.665729 0.0225154
0.0154399 0.767054 0.739801 0.0472356
0.624654 0.884919 0.188677 0.0237472
0.745835 0.398506 0.0753145 0.0469003
0.446789 0.998232 0.845681 0.0325518
0.763375 0.584045 0.42691 0.0536573
0.793642 0.0662929 0.0709492 0.0424104
0.474591 0.604961 0.0240936 0.0307525
0.20637 0.769027 0.275904 0.0642978
0.794228 0.011128 0.453723 0.0481392
0.691513 0.303075 0.106408 0.0584299
0.465281 0.212966 0.501201 0.0429758
0.473693 0.757029 0.94464 0.0416723
0.0793349 0.0822443 0.795369 0.0356011
0.0879652 0.339143 0.0621809 0.028057
0.0892081 0.103562 0.651434 0.0481144
0.769885 0.151599 0.0971989 0.0357893
0.0319209 0.344468 0.831231 0.0432499
0.685524 0.00707301 0.963266 0.0287685
0.223584 0.722319 0.559564 0.041176
0.834864 0.138375 0.172296 0.0365032
0.745885 0.0754194 0.602373 0.0301365
0.378988 0.106593 0.81684 0.051773
0.5283 0.491028 0.147577 0.0636452
0.436771 0.050761 0.934634 0.026795
0.487009 0.542875 0.279912 0.0192804
0.0509262 0.963117 0.62774 0.059891
0.109226 0.97847 0.00297037 0.0351999
0.625995 0.107322 0.374812 0.0277476
0.208196 0.949463 0.963909 0.0350063
0.0315404 0.798681 0.277237 0.0419151
0.89333 0.442954 0.688839 0.0222062
0.227076 0.33434 0.44306 0.0333213
0.29497 0.977789 0.496102 0.0292425
0.79618 0.872593 0.747258 0.0272462
0.249905 0.478973 0.342757 0.0579416
0.641968 0.346385 0.728466 0.0393086
0.899765 0.828354 0.740461 0.0568704
0.272218 0.728065 0.34209 0.031776
0.838548 0.0231723 0.539975 0.0304454
0.18998 0.184147 0.301252 0.0356707
0.66046 0.0957828 0.866872 0.0375997
0.742363 0.659691 0.716033 0.0280424
0.0804224 0.336661 0.39084 0.044893
0.450062 0.126479 0.535608 0.0429515
0.168925 0.582837 0.829627 0.0500601
0.216883 0.851716 0.0903591 0.0383953
0.497409 0.106686 0.967526 0.0615782
0.371425 0.027189 0.672969 0.0223365
0.286199 0.275979 0.852738 0.0505746
0.666184 0.160152 0.207047 0.061291
0.975214 0.456821 0.485621 0.0485666
0.354046 0.964105 0.929215 0.0269399
0.652861 0.821683 0.55931 0.0457397
0.663286 0.961664 0.288148 0.0586649
0.780092 0.607092 0.340685 0.0371471
0.415489 0.220381 0.44703 0.0302709
0.331976 0.572517 0.870631 0.0336721
0.85534 0.120975 0.405365 0.0330022
0.898743 0.402806 0.408107 0.061506
0.652296 0.0271124 0.892742 0.0362347
0.00109096 0.649241 0.88736 0.0495611
0.153486 0.85319 0.317667 0.0304793
0.74619 0.976828 0.0748496 0.0420883
0.462856 0.582151 0.944885 0.0366515
0.554959 0.689043 0.718214 0.0453004
0.748132 0.466069 0.117005 0.0325238
0.437479 0.670469 0.977565 0.0577523
0.16507 0.64997 0.946655 0.0339323
0.316206 0.308884 0.330157 0.0607117
0.0850523 0.771515 0.508251 0.0342484
0.912787 0.488489 0.444478 0.0326296
0.527657 0.378239 0.883133 0.0515176
0.284376 0.226611 0.795117 0.0253242
0.824591 0.453028 0.146049 0.0502992
0.567799 0.131181 0.377221 0.0349595
0.448415 0.985242 0.45695 0.0458634
0.189904 0.750138 0.477809 0.0299629
0.836012 0.0761238 0.832337 0.0408288
0.926334 0.00476501 0.910503 0.0369942
0.440438 0.606595 0.74895 0.0334315
0.810899 0.32018 0.435827 0.0622357
0.0636593 0.489291 0.0918926 0.0289976
0.0896862 0.685575 0.315409 0.0341971
0.66165 0.389439 0.449599 0.0513732
0.234354 0.436745 0.153462 0.0537524
0.509656 0.57437 0.755757 0.0432228
0.10132 0.988747 0.457296 0.0483041
0.583183 0.748462 0.668593 0.0370983
0.122474 0.796274 0.0274527 0.0308615
0.324982 0.00117287 0.761551 0.0327184
0.813658 0.993577 0.97337 0.0809183
0.202564 0.473538 0.608308 0.0387605
0.92286 0.0563075 0.730636 0.0380546
0.83953 0.874033 0.481091 0.0315262
0.757419 0.686344 0.437332 0.0493433
0.775039 0.138755 0.00537384 0.057073
0.501141 0.319415 0.931617 0.0291315
0.0827454 0.660513 0.908464 0.0339338
0.6091 0.607484 0.674198 0.062034
0.441995 0.195378 0.846132 0.0367416
0.520239 0.69515 0.310851 0.0353533
0.199418 0.72457 0.642135 0.0448879
0.623463 0.737203 0.568869 0.0389638
0.0410867 0.652444 0.968052 0.0376408
0.638951 0.553418 0.858415 0.0522345
0.838553 0.812034 0.970127 0.0370024
0.543384 0.268348 0.431399 0.0462331
0.940655 0.999154 0.782406 0.0410872
0.017358 0.245895 0.961237 0.0458302
0.248985 0.715591 0.491067 0.0294659
0.857047 0.784034 0.240285 0.046548
0.0615992 0.622065 0.859864 0.0220243
0.604201 0.575195 0.562295 0.0167475
0.665072 0.950641 0.458945 0.0279933
0.6812 0.543957 0.714897 0.042323
0.533576 0.910019 0.918191 0.0731504
0.572516 0.825818 0.859079 0.0368503
0.0765606 0.863733 0.306944 0.0425899
0.67971 0.558897 0.457782 0.0249217
0.915222 0.949448 0.49092 0.0247195
0.0228084 0.00662286 0.0860634 0.0339621
0.273411 0.290518 0.515971 0.0307921
0.642623 0.772441 0.185435 0.0295154
0.94172 0.628256 0.394925 0.0256003
0.240219 0.933473 0.183526 0.0443671
0.749072 0.627613 0.175557 0.0590654
0.630776 0.177184 0.887657 0.0515026
0.470924 0.874411 0.255435 0.0846582
0.526935 0.716097 0.897549 0.04035
0.467133 0.656264 0.878861 0.0462842
